username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,,
This has no impact on who actually gets it but it will piss off PEOTUS if she once again wins the popular vote! #VoteForHillary (again!) https:// twitter.com/adamparkhomenk o/status/805786489015726080 …,,,,,,,,,,
Who will be TIME's Person of the Year? Vote now for your pick http:// on.today.com/2gb5ves via @todayshow #VoteForHillary,,,,,,,,,,
#ImStillWithHer #TimesPersonOfTheYear should go 2 @HillaryClinton if it goes 2 @realDonaldTrump Ill burn it #voteforhillary #HillaryClinton https:// twitter.com/AdamParkhomenk o/status/805901147613593601 …,,,,,,,,,,
Electors don't need law changes- #VoteForHillary -fine is minimal- #Hillary supporters will pay your fine! https:// twitter.com/Keep2020Alive/ status/805502981059858433 …,,,,,,,,,,
I don't see how the Electoral College voters could ignore all of these #TrumpFirsts and actually vote for him. #VoteForHillary & save America https:// twitter.com/maramcewin/sta tus/805071777332236288 …,,,,,,,,,,
#VoteForHillary @ElectoralCollge This isn't a joke. This isn't funny anymore. This isn't hyperbole. This man is worse than a madman. https:// twitter.com/amsmadwoman/st atus/804501119569432581 …,,,,,,,,,,
Who is qualified is the saddest commentary on @realDonaldTrump I've seen yet. #MAGA #voteforhillary https:// twitter.com/slate/status/8 03741189216366592 …,,,,,,,,,,
Who did you guys vote for are you happy that Hilary might win cause of trump I am I just hope Hilary wins ~vote~ #voteforhillary,,,,,,,,,,
Understand the move, don't know if I agree with it. #VoteForHillary https:// twitter.com/thehill/status /803437355738730496 …,,,,,,,,,
Biggest ever! Imagine a world where #Stein voters where asked to #voteforhillary https:// twitter.com/MeLoseBrainUhO h/status/803403915723214848 …,,,,,,,,,,
@UbbelohdeBerlin @Fluesterwitz Der #genosseStegner hat für #voteforhillary Klingelstreiche in den USA gemacht. Wer zahlte es?,,,,,,,,,,
#integrity #government #EmolumentsClause #impeach #Trump #ElectoralCollege save us all a lot of grief and just #VoteForHillary,,,,,,,,,,
So @GOP leaders, have you really fallen so far? Do you TRULY believe a Trump Pres is good for U.S.?Contact your EC reps to #VoteForHillary,,,,,,,,,
Ths is what #libtard #democRats like #TessRafferty @Rosie @ladygaga @CNN #msm #obama @TheJuanWilliams support, why they #voteforhillary . https:// twitter.com/JaredWyand/sta tus/800540281422643200 …,,,,,,,,,
https:// jillstein.nationbuilder.com/recount #nastywomen #Election2016 #vote2016 #Latino #Americans #votersuppression #voteforhillary #HillaryClinton #God,,,,,,,,,,
Earth: Dam! Where is everyone? Only species left @realDonaldTrump Galaxy: That's bcuz u didn't #voteforhillary #HowPlanetsTalkAboutEachOther pic.twitter.com/MILq4jKpsn,,,,,,,,,,
#electoralreform #electors #voteforhillary OR @SenateMajLdr @SenatorTomUdall #ImpeachTrump He will continue to violate office. #embarrasing https:// twitter.com/SilverAdie/sta tus/798835230954045441 …,,,,,,,,,,
Hopefully the Electoral College will #VoteForHillary https:// twitter.com/MarionPuphette /status/800182517152108545 …,,,,,,,,,,
@extra3 Ich frage mich wer #Stegner s Klingelsteichtour in Amerika #voteforHillary bezahlt hat. Der Steuerzahler? Oder die #EU ?Info bitte,,,,,,,,,,
Nasty Woman Definition Funny T-Shirt http://www. redbubble.com/people/callumm urphy/works/23882762-nasty-woman-definition-funny-t-shirt … -- #voteforhillary #antitrump #hillaryforpresident #meaning,,,,,,,,,,
Nasty Woman Definition Funny T-Shirt http://www. redbubble.com/people/callumm urphy/works/23882762-nasty-woman-definition-funny-t-shirt … -- #nastywoman #definition #funny #giftideas #hillary #clinton #voteforhillary pic.twitter.com/jOmsaGq1JM,,,,,,,,,,
Top story: @IAMLeakyJ: ' #VoteForHillary @BigFreedia ' pic.twitter.com/vkj0xDzBbI , see more http:// tweetedtimes.com/v/13475?s=tnp,,,,,,,,,
Not from Trump and the GOP. @ElectoralCollge needs to #VoteForHillary https:// twitter.com/b_disnne/statu s/798020051840286720 …,,,,,,,,,,
@ElectoralCollge America is telling you we do NOT want Donald Trump as our president! #VoteForHillary https:// twitter.com/RoundTheClockP R/status/797622347327008768 …,,,,,,,,,,
Choose kindness, not hate Possibility, not limitations Hope, not fear The world is watching. @ElectoralCollge #VoteForHillary https:// twitter.com/heykershner/st atus/796949914748002304 …,,,,,,,
Ridiamoci su va #madonna #madonnafans #madonnapromise #promessa #voteforhillary #vote … https://www. instagram.com/p/BMwFOnjDSU9/,,,,,,,,,,
I have signed, have you? #spreadtheword #spreadlove #president #usa #HillaryClinton #PresidentialElection #electoralcollege #voteforhillary https:// twitter.com/gigihadid/stat us/797177554935353344 …,,,,,,,,,
